circuitId,raceId,race_prcp,quali_prcp,fp1_prcp,fp2_prcp,fp3_prcp,sprint_prcp
7,1082,0.0,1.2,0.0,6.5,2.3,\N
9,1083,0.0,2.5,0.7999999999999999,0.0,0.6,\N
70,1084,0.0,0.0,0.0,0.0,\N,0.0
34,1085,0.0,0.0,0.0,0.0,0.0,\N
11,1086,0.0,0.0,0.0,0.0,11.0,\N
13,1087,0.0,0.0,0.6000000000000001,0.0,0.0,\N
39,1088,0.0,0.0,0.0,0.0,0.0,\N
14,1089,0.0,0.0,0.0,0.0,0.0,\N
15,1091,0.0,0.6,0.8,0.6000000000000001,1.9,\N
22,1092,13.5,0.0,8.200000000000001,7.8999999999999995,0.0,\N
69,1093,0.0,0.0,0.0,0.0,0.0,\N
32,1094,0.7,1.2000000000000002,0.0,0.0,0.8,\N
18,1095,0.0,0.0,0.3,1.9,\N,0.0
24,1096,0.0,0.0,0.0,0.0,0.0,\N
3,1098,0.0,0.0,0.0,0.0,0.0,\N
77,1099,0.0,0.0,0.0,0.0,0.0,\N
1,1100,0.0,0.0,0.0,0.9000000000000001,0.0,\N
73,1101,0.0,0.0,0.0,0.0,\N,0.0
79,1102,0.0,0.0,0.0,0.0,0.0,\N
6,1104,0.3,0.0,0.0,0.0,0.0,\N
4,1105,0.2,1.1,0.7999999999999999,0.1,2.9000000000000004,\N
7,1106,0.0,2.4,0.0,1.5,2.4,\N
70,1107,0.0,0.0,0.0,3.0,\N,0.1
9,1108,0.5,1.9,0.0,0.0,1.2999999999999998,\N
11,1109,0.0,0.0,0.4,0.2,0.0,\N
13,1110,0.9999999999999999,1.1,1.6,6.0,\N,1.2999999999999998
39,1111,5.800000000000001,0.2,1.8,1.1,11.2,\N
14,1112,0.0,0.0,0.0,0.0,0.0,\N
15,1113,0.0,0.0,0.30000000000000004,0.0,0.0,\N
22,1114,0.0,0.0,0.2,0.0,0.0,\N
78,1115,0.0,0.0,0.0,0.0,\N,0.0
69,1116,0.0,0.0,0.0,0.0,\N,0.0
32,1117,0.0,0.0,0.0,0.0,0.0,\N
18,1118,0.0,1.3000000000000003,0.5,0.0,\N,0.0
80,1119,0.0,0.0,2.1,0.6,0.0,\N
24,1120,0.0,0.0,0.0,0.0,0.0,\N
3,1121,0.0,0.0,0.0,0.0,0.0,\N
77,1122,0.0,0.0,0.0,0.0,0.0,\N
1,1123,0.0,0.0,0.0,0.0,0.1,\N
22,1124,0.0,0.0,0.7,3.4000000000000004,0.0,\N
17,1125,0.0,0.0,0.0,4.9,\N,0.0
79,1126,0.0,0.0,0.0,0.0,\N,0.0
21,1127,0.30000000000000004,0.0,0.0,0.0,0.0,\N
6,1128,0.0,0.0,0.0,0.0,0.0,\N
7,1129,1.7999999999999998,2.9,5.5,0.9,0.9,\N
4,1130,1.1,0.5,0.0,0.0,0.5,\N
70,1131,0.5,0.0,0.0,0.0,\N,0.2
9,1132,2.0,0.2,0.0,2.5,1.3,\N
11,1133,0.0,0.0,0.0,0.0,0.3,\N
13,1134,0.0,3.5999999999999996,0.5,0.4,0.8999999999999999,\N
39,1135,0.0,0.1,0.6,0.0,0.4,\N
14,1136,0.0,0.0,0.0,0.0,0.0,\N
73,1137,0.0,0.0,0.0,0.0,0.0,\N
15,1138,0.0,0.0,0.0,0.0,0.0,\N
69,1139,0.0,0.0,0.0,0.0,\N,0.0
